No;Nama Aset;ID Functloc;Techidentno;Jenis Aset;Merk;Serial ID;Phasa;Status Asset;Fungsi;Tipe Aset;Daya;Tegangan;Tahun Buat;Tahun Operasi;Status Usia;Unit Induk;Unit Pelaksana;Ultg;Gardu Induk;Bay;Penempatan;AHI;Jumlah Parameter Pemicu;Parameter Pemicu;Jumlah Sub Sistem Pemicu;Kualitas Data
1;24341401801800000002 - Substation Battery - HBL - unit 2/3156299S120002-01A - RST;TRS-3414-018.018-G0001;="24341401801800000002";Substation Battery;HBL;="unit 2/3156299S120002-01A";RST;PLN_OPERASI;-;KPM 212P;-;-;2017;2017;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;GEDUNG;BATERE 110 VDC UNIT 1;2 - Good;0;-;0;42.86%
2;25341401801800000002 - Substation Rectifier - CDP - CD-0511-1-648 - RST;TRS-3414-018.018-G0001;="25341401801800000002";Substation Rectifier;CDP;="CD-0511-1-648";RST;PLN_TIDAK_OPERASI;-;8888;-;-;2005;-;-11;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;GEDUNG;RECTIFIER 110V UNIT 1;-;0;-;0;0%
3;24312701801800000001 - Substation Battery - SAFT - 241018833001;TRS-3414-018.018-G0001;="24312701801800000001";Substation Battery;SAFT;="241018833001";-;PLN_TIDAK_OPERASI;-;SBM 112-2;-;-;1995;-;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;GEDUNG;PROTEKSI;-;0;-;0;0%
4;25341401801800000003 - Substation Rectifier - CDP - CD-0511-1-648 - RST;TRS-3414-018.018-G0001;="25341401801800000003";Substation Rectifier;CDP;="CD-0511-1-648";RST;PLN_OPERASI;-;CD-9R-110/ 48308;-;-;2016;-;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;GEDUNG;RECTIFIER 110V UNIT 1;5 - Critical;2;Pengukuran Thermovisi Recitifer (61.0, 5 - Critical), Pengukuran DC Ground (52.81, 5 - Critical);2;66.67%
5;14312701801800000001 - Circuit Breaker - ALSTHOM - B.016126-5A - RST;TRS-3414-018.018-B0002;="14312701801800000001";Circuit Breaker;ALSTHOM;="B.016126-5A";RST;RUSAK;-;FX.12;-;150 kV;1990;1997;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;-;-;0;-;0;0%
6;13312701801800000005 - Current Transformer - ABB - S7576 - S;TRS-3414-018.018-B0002;="13312701801800000005";Current Transformer;ABB;="S7576";S;PLN_TIDAK_OPERASI;U;IH 170 - 14;-;150 kV;1994;1996;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;-;2 - Good;0;-;0;37.64%
7;14341401801800000040 - Circuit Breaker - UNINDO - 13313028015 - R;TRS-3414-018.018-B0002;="14341401801800000040";Circuit Breaker;UNINDO;="13313028015";R;PLN_OPERASI;-;GL313F1/4031P;-;150 kV;2018;2020;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;BAY CILEGON BARU 1;3 - Fair;0;-;0;80.98%
8;15312701801800000002 - Disconnecting Switch - COELME - 8896/1-8889/2-8897/3 - RST;TRS-3414-018.018-B0002;="15312701801800000002";Disconnecting Switch;COELME;="8896/1-8889/2-8897/3";RST;PLN_OPERASI;-;SDC;-;150 kV;1994;1997;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;LINE;2 - Good;0;-;0;85.71%
9;54312701801800000001 - Over Current Relay - GEC ALSTHOM - 372118E - RST;TRS-3414-018.018-B0002;="54312701801800000001";Over Current Relay;GEC ALSTHOM;="372118E";RST;PLN_TIDAK_OPERASI;OCR + GFR;MCGG82;-;150 kV;1995;1997;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;PANEL PROTEKSI;-;0;-;0;0%
10;13341401801800000042 - Current Transformer - TRENCH - 2200593 - T;TRS-3414-018.018-B0002;="13341401801800000042";Current Transformer;TRENCH;="2200593";T;PLN_OPERASI;U;IOSK - 170;-;150 kV;2021;2023;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;CILEGON BARU #1;2 - Good;0;-;0;44.44%
